,seed_45,seed_45,seed_359,seed_359,seed_6185,seed_6185,seed_102,seed_102,seed_421,seed_421,seed_123,seed_123,seed_5676,seed_5676,seed_368,seed_368,seed_945,seed_945,seed_909,seed_909,seed_604,seed_604,seed_31,seed_31,seed_7736,seed_7736,seed_766,seed_766,seed_824,seed_824,seed_8623,seed_8623,seed_788,seed_788,seed_781,seed_781,seed_118,seed_118,seed_1946,seed_1946,seed_135,seed_135,seed_169,seed_169,seed_577,seed_577,seed_369,seed_369,seed_9342,seed_9342,seed_980,seed_980,seed_310,seed_310,seed_690,seed_690,seed_288,seed_288,seed_715,seed_715,seed_2672,seed_2672,seed_184,seed_184,seed_148,seed_148,seed_262,seed_262,seed_931,seed_931,seed_404,seed_404,seed_849,seed_849,seed_177,seed_177,seed_340,seed_340,seed_8,seed_8,seed_3794,seed_3794,seed_759,seed_759,seed_245,seed_245,seed_412,seed_412,seed_479,seed_479,seed_764,seed_764,seed_753,seed_753,seed_882,seed_882,seed_362,seed_362,seed_4143,seed_4143
,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value,x_index,y_value
iteration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,0.0,72,0.619629,52,0.225159,98,0.0,54,0.0,72,0.619629,6,0.521209,65,0.557771,4,0.444846,0,0.13848,90,0.581536,64,0.427846,97,0.394429,83,0.085345,1,0.55386,46,0.0,68,0.553297,51,0.246653,45,0.456972,53,0.0,7,0.0,99,0.0,67,0.558344,46,0.0,7,0.0,65,0.557771,94,0.0,3,0.529015,6,0.521209,8,0.0,47,0.0,68,0.553297,70,0.231671,9,0.142527,98,0.0,44,0.595148,1,0.55386,79,0.0,78,0.590437,54,0.0,51,0.246653,4,0.444846,1,0.55386,6,0.521209,84,0.397736,78,0.590437,78,0.590437,12,0.0,83,0.085345,7,0.0
1,90,0.581536,10,0.368919,44,0.595148,84,0.397736,49,0.368797,68,0.553297,79,0.0,49,0.368797,48,0.276438,8,0.0,77,0.606331,9,0.142527,78,0.590437,55,0.420117,64,0.427846,55,0.420117,93,0.0,49,0.368797,80,0.47378,70,0.231671,52,0.225159,46,0.0,98,0.0,81,0.544579,46,0.0,93,0.0,61,0.0,70,0.231671,78,0.590437,84,0.397736,64,0.427846,85,0.0,48,0.276438,68,0.553297,61,0.0,85,0.0,3,0.529015,2,0.23795,44,0.595148,6,0.521209,48,0.276438,80,0.47378,2,0.23795,9,0.142527,53,0.0,68,0.553297,46,0.0,83,0.085345,44,0.595148,61,0.0
2,52,0.225159,77,0.606331,70,0.231671,47,0.0,85,0.0,0,0.13848,0,0.13848,1,0.55386,10,0.368919,78,0.590437,9,0.142527,2,0.23795,70,0.231671,90,0.581536,93,0.0,67,0.558344,51,0.246653,66,0.0,93,0.0,81,0.544579,93,0.0,7,0.0,1,0.55386,97,0.394429,90,0.581536,48,0.276438,68,0.553297,97,0.394429,10,0.368919,67,0.558344,9,0.142527,49,0.368797,81,0.544579,72,0.619629,77,0.606331,90,0.581536,70,0.231671,45,0.456972,80,0.47378,79,0.0,85,0.0,97,0.394429,45,0.456972,83,0.085345,0,0.13848,82,0.05735,79,0.0,6,0.521209,94,0.0,65,0.557771
3,47,0.0,5,0.506045,0,0.13848,64,0.427846,6,0.521209,47,0.0,50,0.0,78,0.590437,70,0.231671,83,0.085345,12,0.0,66,0.0,7,0.0,70,0.231671,66,0.0,81,0.544579,99,0.0,98,0.0,82,0.05735,94,0.0,94,0.0,66,0.0,89,0.528122,11,0.339554,9,0.142527,47,0.0,72,0.619629,67,0.558344,80,0.47378,9,0.142527,51,0.246653,93,0.0,67,0.558344,6,0.521209,97,0.394429,89,0.528122,6,0.521209,85,0.0,11,0.339554,78,0.590437,99,0.0,68,0.553297,98,0.0,84,0.397736,50,0.0,65,0.557771,48,0.276438,45,0.456972,45,0.456972,67,0.558344
4,87,0.218576,97,0.394429,10,0.368919,55,0.420117,83,0.085345,55,0.420117,64,0.427846,87,0.218576,68,0.553297,89,0.528122,67,0.558344,3,0.529015,53,0.0,2,0.23795,70,0.231671,53,0.0,8,0.0,10,0.368919,67,0.558344,47,0.0,47,0.0,50,0.0,10,0.368919,55,0.420117,77,0.606331,51,0.246653,93,0.0,99,0.0,66,0.0,4,0.444846,10,0.368919,65,0.557771,5,0.506045,65,0.557771,72,0.619629,94,0.0,7,0.0,83,0.085345,46,0.0,44,0.595148,10,0.368919,94,0.0,6,0.521209,64,0.427846,66,0.0,55,0.420117,94,0.0,66,0.0,47,0.0,83,0.085345
5,55,0.420117,70,0.231671,94,0.0,90,0.581536,12,0.0,81,0.544579,54,0.0,93,0.0,54,0.0,67,0.558344,50,0.0,0,0.13848,55,0.420117,65,0.557771,89,0.528122,9,0.142527,9,0.142527,47,0.0,61,0.0,68,0.553297,48,0.276438,78,0.590437,12,0.0,79,0.0,12,0.0,77,0.606331,2,0.23795,77,0.606331,12,0.0,2,0.23795,80,0.47378,9,0.142527,72,0.619629,83,0.085345,11,0.339554,54,0.0,87,0.218576,77,0.606331,48,0.276438,80,0.47378,0,0.13848,11,0.339554,70,0.231671,89,0.528122,7,0.0,48,0.276438,44,0.595148,77,0.606331,70,0.231671,9,0.142527
6,11,0.339554,6,0.521209,66,0.0,51,0.246653,77,0.606331,3,0.529015,66,0.0,84,0.397736,67,0.558344,12,0.0,84,0.397736,47,0.0,84,0.397736,93,0.0,50,0.0,0,0.13848,89,0.528122,83,0.085345,8,0.0,89,0.528122,68,0.553297,93,0.0,90,0.581536,68,0.553297,5,0.506045,45,0.456972,45,0.456972,47,0.0,48,0.276438,5,0.506045,11,0.339554,50,0.0,89,0.528122,5,0.506045,5,0.506045,97,0.394429,48,0.276438,52,0.225159,45,0.456972,64,0.427846,9,0.142527,99,0.0,8,0.0,46,0.0,70,0.231671,77,0.606331,89,0.528122,54,0.0,12,0.0,4,0.444846
7,4,0.444846,47,0.0,82,0.05735,83,0.085345,98,0.0,85,0.0,49,0.368797,7,0.0,94,0.0,87,0.218576,61,0.0,4,0.444846,5,0.506045,79,0.0,7,0.0,48,0.276438,54,0.0,44,0.595148,78,0.590437,78,0.590437,89,0.528122,81,0.544579,87,0.218576,65,0.557771,53,0.0,89,0.528122,4,0.444846,45,0.456972,64,0.427846,51,0.246653,81,0.544579,1,0.55386,65,0.557771,55,0.420117,44,0.595148,52,0.225159,79,0.0,93,0.0,66,0.0,12,0.0,90,0.581536,77,0.606331,94,0.0,5,0.506045,94,0.0,99,0.0,82,0.05735,2,0.23795,72,0.619629,50,0.0
8,70,0.231671,9,0.142527,50,0.0,97,0.394429,53,0.0,44,0.595148,52,0.225159,5,0.506045,66,0.0,9,0.142527,79,0.0,98,0.0,89,0.528122,47,0.0,97,0.394429,66,0.0,3,0.529015,78,0.590437,11,0.339554,8,0.0,65,0.557771,70,0.231671,66,0.0,45,0.456972,52,0.225159,90,0.581536,67,0.558344,0,0.13848,55,0.420117,61,0.0,94,0.0,7,0.0,82,0.05735,87,0.218576,54,0.0,79,0.0,11,0.339554,0,0.13848,99,0.0,84,0.397736,94,0.0,55,0.420117,9,0.142527,66,0.0,81,0.544579,10,0.368919,6,0.521209,78,0.590437,6,0.521209,53,0.0
9,54,0.0,80,0.47378,6,0.521209,79,0.0,81,0.544579,12,0.0,61,0.0,98,0.0,81,0.544579,55,0.420117,65,0.557771,53,0.0,1,0.55386,4,0.444846,55,0.420117,7,0.0,87,0.218576,1,0.55386,51,0.246653,10,0.368919,46,0.0,87,0.218576,51,0.246653,48,0.276438,48,0.276438,99,0.0,52,0.225159,79,0.0,89,0.528122,46,0.0,67,0.558344,83,0.085345,93,0.0,79,0.0,0,0.13848,1,0.55386,2,0.23795,44,0.595148,7,0.0,2,0.23795,79,0.0,79,0.0,78,0.590437,98,0.0,98,0.0,52,0.225159,47,0.0,55,0.420117,52,0.225159,82,0.05735
10,84,0.397736,0,0.13848,42,0.68768,80,0.47378,51,0.246653,45,0.456972,4,0.444846,64,0.427846,84,0.397736,62,0.6771,4,0.444846,43,0.681477,93,0.0,81,0.544579,3,0.529015,6,0.521209,77,0.606331,3,0.529015,74,0.658964,54,0.0,71,0.669569,96,0.641716,77,0.606331,80,0.47378,80,0.47378,81,0.544579,81,0.544579,65,0.557771,93,0.0,81,0.544579,7,0.0,80,0.47378,45,0.456972,45,0.456972,74,0.658964,12,0.0,51,0.246653,71,0.669569,22,0.820774,90,0.581536,78,0.590437,64,0.427846,84,0.397736,20,0.899917,83,0.085345,79,0.0,51,0.246653,79,0.0,67,0.558344,75,0.644678
11,81,0.544579,65,0.557771,2,0.23795,89,0.528122,0,0.13848,89,0.528122,65,0.557771,22,0.820774,65,0.557771,45,0.456972,81,0.544579,51,0.246653,45,0.456972,97,0.394429,19,0.869142,72,0.619629,80,0.47378,4,0.444846,75,0.644678,51,0.246653,88,0.64553,51,0.246653,4,0.444846,69,0.655095,51,0.246653,80,0.47378,69,0.655095,81,0.544579,94,0.0,80,0.47378,6,0.521209,22,0.820774,75,0.644678,75,0.644678,63,0.673479,81,0.544579,4,0.444846,81,0.544579,50,0.0,49,0.368797,98,0.0,93,0.0,51,0.246653,12,0.0,80,0.47378,96,0.641716,63,0.673479,1,0.55386,49,0.368797,90,0.581536
12,92,0.665694,62,0.6771,21,0.904846,87,0.218576,2,0.23795,63,0.673479,17,0.902128,2,0.23795,69,0.655095,69,0.655095,74,0.658964,60,0.624609,2,0.23795,88,0.64553,43,0.681477,62,0.6771,1,0.55386,12,0.0,71,0.669569,93,0.0,69,0.655095,86,0.638409,86,0.638409,67,0.558344,74,0.658964,71,0.669569,75,0.644678,71,0.669569,95,0.649364,65,0.557771,4,0.444846,2,0.23795,92,0.665694,96,0.641716,76,0.645276,16,0.88388,19,0.869142,89,0.528122,3,0.529015,88,0.64553,95,0.649364,96,0.641716,64,0.427846,22,0.820774,77,0.606331,95,0.649364,71,0.669569,91,0.625649,88,0.64553,72,0.619629
